model,parameter_count,final_objective,growth_rate,carrying_capacity,diffusion,interval_coverage,mean_interval_width,rmse,r_squared,observation_count
Deterministic Logistic PINN,2211,0.07244700193405151,0.03506220504641533,52.33500289916992,,,,2.8166622964425283,0.9325504305191582,45
Stochastic Logistic PINN Drift,2212,0.29256439208984375,0.0368056446313858,52.2808952331543,0.017245320603251457,,,2.8469161105661662,0.9310936951235436,45
Stochastic Logistic SDE Mean,2212,0.29256439208984375,0.0368056446313858,52.2808952331543,0.017245320603251457,0.8222222222222222,9.451738357543945,3.2324422696847193,0.9111676449868854,45
