epoch,total_loss,data_mse,initial_mse,physics_mse,transition_nll,growth_rate,carrying_capacity
1.0,16.600440979003906,6.4666056632995605,0.0012709213187918067,10.132564544677734,,0.0191402118653059,56.33241271972656
2.0,16.482654571533203,6.474996566772461,0.0012768448796123266,10.006380081176758,,0.019045686349272728,56.327491760253906
3.0,16.354084014892578,6.4882097244262695,0.0013125059194862843,9.864561080932617,,0.01895167864859104,56.322574615478516
4.0,16.212465286254883,6.507715225219727,0.0014254488050937653,9.703325271606445,,0.01885821856558323,56.317665100097656
5.0,16.056901931762695,6.534475326538086,0.0016952066216617823,9.520730972290039,,0.018765343353152275,56.312767028808594
6.0,15.886697769165039,6.5692877769470215,0.0022398605942726135,9.315170288085938,,0.018673093989491463,56.30787658691406
7.0,15.702116012573242,6.612813949584961,0.0032151746563613415,9.086087226867676,,0.018581517040729523,56.303009033203125
8.0,15.504362106323242,6.664438247680664,0.004789753817021847,8.835134506225586,,0.018490662798285484,56.298160552978516
9.0,15.294939994812012,6.721499919891357,0.007095884066075087,8.566344261169434,,0.01840059645473957,56.29334259033203
10.0,15.074278831481934,6.779333114624023,0.010184235870838165,8.284761428833008,,0.01831136643886566,56.28855895996094
11.0,14.83987808227539,6.83170747756958,0.014017107896506786,7.99415397644043,,0.01822303794324398,56.283809661865234
12.0,14.585990905761719,6.872134208679199,0.0185171440243721,7.695339202880859,,0.01813565380871296,56.27910614013672
13.0,14.305168151855469,6.894195556640625,0.023610591888427734,7.387361526489258,,0.01804926060140133,56.27444839477539
14.0,13.99128246307373,6.8913044929504395,0.02924000285565853,7.070737838745117,,0.017963888123631477,56.26983642578125
15.0,13.643890380859375,6.857111930847168,0.03536495566368103,6.751413345336914,,0.017879555001854897,56.2652702331543
16.0,13.272882461547852,6.787471771240234,0.04197278618812561,6.4434380531311035,,0.017796272411942482,56.2607421875
17.0,12.899852752685547,6.683800220489502,0.0491059236228466,6.1669464111328125,,0.017714016139507294,56.256248474121094
18.0,12.551250457763672,6.55711555480957,0.05692591518163681,5.937209129333496,,0.0176327396184206,56.25177764892578
