time,deterministic_pinn,stochastic_pinn_drift,sde_mean,sde_lower,sde_upper
51.130436,36.90987,37.527966,37.124893,32.518517,42.07105
51.692307,37.123806,37.7454,37.34574,32.6695,42.287003
52.25418,37.335938,37.96083,37.56179,32.84424,42.53671
52.816055,37.546238,38.174236,37.77409,33.065784,42.78781
53.377926,37.7547,38.385605,37.99143,33.277077,42.984394
53.9398,37.961296,38.594917,38.200592,33.46087,43.240517
54.50167,38.16601,38.80216,38.40896,33.65816,43.460575
55.063545,38.36884,39.007324,38.61587,33.857315,43.660393
55.62542,38.56975,39.21039,38.83057,34.049347,43.894276
56.18729,38.76874,39.411346,39.03104,34.227436,44.093533
56.749165,38.965797,39.610188,39.23118,34.45592,44.376793
57.311035,39.1609,39.806896,39.423584,34.592052,44.55866
57.87291,39.35405,40.001472,39.615593,34.775677,44.784645
58.434784,39.545227,40.19389,39.812,34.931667,44.961155
58.996655,39.734432,40.38415,40.00525,35.13892,45.18518
59.55853,39.92165,40.572247,40.1954,35.30758,45.383347
60.1204,40.10688,40.758167,40.385323,35.455963,45.58767
60.682274,40.29012,40.941906,40.572887,35.61111,45.818714
61.24415,40.471367,41.123466,40.75641,35.82868,46.016796
61.80602,40.650608,41.30284,40.940556,36.04361,46.207535
62.367893,40.82785,41.480026,41.126884,36.193737,46.39417
62.929768,41.00311,41.65503,41.308693,36.382317,46.605473
63.49164,41.17636,41.82785,41.48011,36.543373,46.805115
64.05351,41.347622,41.998497,41.6564,36.677002,46.985435
64.61539,41.5169,42.16697,41.828064,36.871696,47.15103
65.17725,41.684185,42.33327,41.99724,37.045063,47.319126
65.73913,41.849495,42.49743,42.16368,37.195663,47.516983
66.301,42.012833,42.65944,42.326008,37.341663,47.686203
66.86288,42.17421,42.819317,42.49159,37.46215,47.822617
67.42475,42.333622,42.977074,42.649193,37.60701,48.044025
67.986626,42.49108,43.13273,42.807484,37.72917,48.243717
68.54849,42.64659,43.28628,42.959225,37.85251,48.3834
