epoch,total_loss,data_mse,initial_mse,physics_mse,transition_nll,growth_rate,carrying_capacity,diffusion
1.0,16.889671325683594,6.4666056632995605,0.0012709213187918067,10.132564544677734,2.892298698425293,0.0191402118653059,56.33241271972656,0.020099259912967682
2.0,16.775550842285156,6.4750075340271,0.0012753598857671022,10.009964942932129,2.89302659034729,0.01904568262398243,56.327491760253906,0.02019897662103176
3.0,16.65078353881836,6.488505840301514,0.0013047218089923263,9.871597290039062,2.8937442302703857,0.018951673060655594,56.322574615478516,0.020299144089221954
4.0,16.512720108032227,6.508205890655518,0.00140339694917202,9.713665962219238,2.8944501876831055,0.01885821297764778,56.317665100097656,0.020399753004312515
5.0,16.3594970703125,6.535152435302734,0.001651427592150867,9.533178329467773,2.895143985748291,0.01876533403992653,56.312767028808594,0.02050078846514225
6.0,16.189699172973633,6.5699357986450195,0.00217210641130805,9.328007698059082,2.895824670791626,0.01867307908833027,56.30787658691406,0.020602239295840263
7.0,16.003047943115234,6.6122846603393555,0.0031247995793819427,9.097990989685059,2.896488904953003,0.01858149841427803,56.303009033203125,0.020704088732600212
8.0,15.800549507141113,6.6607136726379395,0.004674578085541725,8.845447540283203,2.8971357345581055,0.018490642309188843,56.298160552978516,0.020806321874260902
9.0,15.583349227905273,6.71215295791626,0.006947608664631844,8.574472427368164,2.8977630138397217,0.018400564789772034,56.29334259033203,0.020908920094370842
10.0,15.350996017456055,6.761703968048096,0.009992657229304314,8.28946304321289,2.898367166519165,0.018311329185962677,56.28855514526367,0.021011877804994583
11.0,15.099936485290527,6.8029866218566895,0.013781550340354443,7.993273735046387,2.8989460468292236,0.018222983926534653,56.28380584716797,0.021115170791745186
12.0,14.82363224029541,6.828763484954834,0.018246334046125412,7.686673164367676,2.8994975090026855,0.01813557744026184,56.27909851074219,0.021218787878751755
13.0,14.515290260314941,6.831669330596924,0.023322928696870804,7.370296478271484,2.900019645690918,0.018049141392111778,56.27443313598633,0.021322712302207947
14.0,14.172823905944824,6.805114269256592,0.028975075110793114,7.048683166503906,2.9005112648010254,0.01796370930969715,56.269805908203125,0.021426919847726822
15.0,13.804244041442871,6.745091438293457,0.03520709276199341,6.7338480949401855,2.9009721279144287,0.017879292368888855,56.265220642089844,0.021531399339437485
16.0,13.429582595825195,6.653135776519775,0.042077481746673584,6.4442291259765625,2.901402235031128,0.017795884981751442,56.26066589355469,0.021636132150888443
17.0,13.07459831237793,6.540346622467041,0.04974114149808884,6.194330215454102,2.9018027782440186,0.017713457345962524,56.256134033203125,0.021741105243563652
18.0,12.756951332092285,6.42681360244751,0.05844258517026901,5.981477737426758,2.902176856994629,0.017631972208619118,56.25162124633789,0.021846294403076172
19.0,12.478683471679688,6.3320536613464355,0.06834730505943298,5.78803014755249,2.902527332305908,0.01755143329501152,56.24711608886719,0.021951690316200256
20.0,12.23200798034668,6.26809024810791,0.07940229773521423,5.594229698181152,2.902855396270752,0.01747184619307518,56.242618560791016,0.022057266905903816
21.0,12.007905960083008,6.2398834228515625,0.091367706656456,5.386338233947754,2.9031612873077393,0.017393266782164574,56.23813247680664,0.02216300554573536
22.0,11.799919128417969,6.248404502868652,0.10394909232854843,5.157221794128418,2.903442621231079,0.01731577143073082,56.233665466308594,0.02226889319717884
23.0,11.603998184204102,6.293053150177002,0.11691153049468994,4.903663635253906,2.9036965370178223,0.01723947562277317,56.229225158691406,0.022374913096427917
24.0,11.417692184448242,6.372828483581543,0.13011974096298218,4.62435245513916,2.903916120529175,0.01716451905667782,56.224822998046875,0.0224810391664505
25.0,11.240205764770508,6.4866108894348145,0.14351797103881836,4.319668292999268,2.9040956497192383,0.01709105633199215,56.22048568725586,0.022587263956665993
26.0,11.073516845703125,6.63273286819458,0.15709030628204346,3.9932708740234375,2.904226779937744,0.017019258812069893,56.216224670410156,0.022693559527397156
27.0,10.924090385437012,6.807497501373291,0.1708286702632904,3.655333995819092,2.9043009281158447,0.016949299722909927,56.212066650390625,0.022799909114837646
28.0,10.803399085998535,7.001562595367432,0.18471305072307587,3.326693058013916,2.9043099880218506,0.016881348565220833,56.208030700683594,0.022906294092535973
29.0,10.721076965332031,7.192968845367432,0.1987006664276123,3.038983106613159,2.904245615005493,0.016815535724163055,56.204139709472656,0.023012684658169746
30.0,10.664732933044434,7.342825889587402,0.21272073686122894,2.8187763690948486,2.9041030406951904,0.01675191894173622,56.200401306152344,0.023119071498513222
31.0,10.598371505737305,7.41623067855835,0.2266901135444641,2.665062665939331,2.9038801193237305,0.016690466552972794,56.19681167602539,0.023225421085953712
32.0,10.505196571350098,7.40934944152832,0.24053220450878143,2.564955949783325,2.903581142425537,0.01663108356297016,56.193363189697266,0.023331722244620323
33.0,10.39894962310791,7.339909076690674,0.2541724443435669,2.5145468711853027,2.903212070465088,0.016573620960116386,56.19003677368164,0.023437941446900368
34.0,10.297396659851074,7.232198238372803,0.26753026247024536,2.5073890686035156,2.9027841091156006,0.01651788502931595,56.186805725097656,0.023544061928987503
35.0,10.20474910736084,7.1101789474487305,0.2805129289627075,2.5238265991210938,2.902308225631714,0.016463683918118477,56.18365478515625,0.02365005388855934
36.0,10.113548278808594,6.992600440979004,0.2930132746696472,2.5377554893493652,2.901796579360962,0.016410812735557556,56.18054962158203,0.02375589683651924
37.0,10.014750480651855,6.890440940856934,0.3049091696739197,2.5292742252349854,2.901261329650879,0.016359103843569756,56.17748260498047,0.023861559107899666
38.0,9.904327392578125,6.80760383605957,0.3160574436187744,2.4905948638916016,2.900712490081787,0.01630840077996254,56.17443084716797,0.02396702766418457
