model,rmse,r_squared,aic,bic,residual_sigma,observation_count,parameter_count,likelihood_parameter_count,final_objective,objective_type,interval_coverage,mean_interval_width
Classical Logistic ODE,1.4291334725208684,0.9826357830392126,165.8406147480981,171.26060221740906,1.4291334725208684,45,2,3,2.0424225330352783,original_scale_mse,,
Neural ODE,1.0281063625919293,0.9910136006408109,2502.1991444397627,4644.900857307362,1.0281063625919293,45,1185,1186,0.008986884728074074,normalized_mse,,
Neural SDE,2.0311584383890815,0.9649250368019829,4933.479034051931,9217.075797297359,2.0311584383890815,45,2370,2371,-1.8933725357055664,transition_nll,0.9333333333333333,7.388686656951904
