epoch,transition_nll
1,39.75883483886719
2,23.539297103881836
3,14.422743797302246
4,9.107973098754883
5,5.858241081237793
6,3.7567057609558105
7,2.3344688415527344
8,1.3526215553283691
9,0.6796936392784119
10,0.24388374388217926
11,-0.017298873513936996
12,-0.15829651057720184
13,-0.22212842106819153
14,-0.23967435956001282
15,-0.231509730219841
16,-0.21062526106834412
17,-0.18489500880241394
18,-0.15891392529010773
19,-0.13524149358272552
20,-0.1152024045586586
21,-0.09938871115446091
22,-0.08796779066324234
23,-0.08086790889501572
24,-0.07788800448179245
25,-0.07876105606555939
26,-0.08319007605314255
27,-0.09086639434099197
28,-0.10147873312234879
29,-0.11471529304981232
30,-0.13026244938373566
31,-0.14780151844024658
32,-0.1670042872428894
33,-0.18752974271774292
34,-0.20902279019355774
35,-0.2311180680990219
36,-0.2534487247467041
37,-0.27566373348236084
38,-0.2974483072757721
39,-0.3185432255268097
40,-0.3387526869773865
41,-0.3579312860965729
42,-0.37595564126968384
43,-0.39269739389419556
44,-0.4080260992050171
45,-0.42186132073402405
46,-0.4342515170574188
47,-0.4454229772090912
48,-0.4557396471500397
49,-0.46557489037513733
50,-0.47518190741539
51,-0.4846709072589874
52,-0.49411627650260925
53,-0.5036739110946655
54,-0.5135605335235596
55,-0.5239023566246033
56,-0.5346345901489258
57,-0.5455792546272278
58,-0.5566174387931824
59,-0.5677528381347656
60,-0.578993022441864
61,-0.5902196168899536
62,-0.6012345552444458
63,-0.6119208335876465
64,-0.6222773790359497
65,-0.6322855949401855
66,-0.6418222188949585
67,-0.6507578492164612
68,-0.6590794324874878
69,-0.6668274998664856
70,-0.6739651560783386
71,-0.68043053150177
72,-0.6862742900848389
73,-0.6916037797927856
74,-0.6964455842971802
75,-0.7008169889450073
76,-0.7048381567001343
77,-0.7086082100868225
78,-0.7121350169181824
79,-0.7154858708381653
80,-0.7187522649765015
81,-0.7219147682189941
82,-0.7249848246574402
83,-0.7280163764953613
84,-0.7309716939926147
85,-0.7338727116584778
86,-0.7367555499076843
87,-0.7395828366279602
88,-0.7423998713493347
89,-0.7451938390731812
90,-0.747955858707428
91,-0.7506982684135437
92,-0.7533698081970215
93,-0.7559812664985657
94,-0.7584834098815918
95,-0.7608774304389954
96,-0.7631392478942871
97,-0.7652732133865356
98,-0.7672829627990723
99,-0.769180417060852
100,-0.7709851264953613
101,-0.772711992263794
102,-0.7743791937828064
103,-0.7759960889816284
104,-0.7775700092315674
105,-0.7791020274162292
106,-0.780588686466217
107,-0.7820290923118591
108,-0.7834165692329407
109,-0.7847540974617004
110,-0.7860374450683594
111,-0.787276029586792
112,-0.7884690165519714
113,-0.7896284461021423
114,-0.790755569934845
115,-0.7918602824211121
116,-0.7929443120956421
117,-0.7940143346786499
118,-0.7950727343559265
119,-0.7961241602897644
120,-0.7971733808517456
121,-0.7982240319252014
122,-0.7992827296257019
123,-0.8003527522087097
124,-0.8014402985572815
125,-0.8025474548339844
126,-0.8036776185035706
127,-0.8048321604728699
128,-0.8060113191604614
129,-0.8072158098220825
130,-0.8084444403648376
131,-0.809698224067688
132,-0.8109757304191589
133,-0.8122765421867371
134,-0.8135998845100403
135,-0.8149425983428955
136,-0.8163018226623535
137,-0.817672848701477
138,-0.8190510869026184
139,-0.8204335570335388
140,-0.8218176960945129
141,-0.8232042193412781
142,-0.8245962858200073
143,-0.8259990215301514
144,-0.8274195790290833
145,-0.8288643956184387
146,-0.8303393125534058
147,-0.8318477869033813
148,-0.8333916664123535
149,-0.8349692821502686
150,-0.8365780115127563
151,-0.8382135033607483
152,-0.8398709893226624
153,-0.8415467143058777
154,-0.8432369232177734
155,-0.8449398875236511
156,-0.8466557860374451
157,-0.8483848571777344
158,-0.8501286506652832
159,-0.8518891334533691
160,-0.8536675572395325
161,-0.8554656505584717
162,-0.8572838306427002
163,-0.8591225147247314
164,-0.8609811067581177
165,-0.8628590106964111
166,-0.8647555112838745
167,-0.8666700720787048
168,-0.8686022162437439
169,-0.870551586151123
170,-0.8725184202194214
171,-0.8745031952857971
172,-0.8765062689781189
173,-0.8785282373428345
174,-0.8805694580078125
175,-0.8826304078102112
176,-0.8847103118896484
177,-0.8868096470832825
178,-0.8889279961585999
179,-0.8910648822784424
180,-0.8932206034660339
181,-0.8953957557678223
182,-0.8975906372070312
183,-0.8998066782951355
184,-0.9020447731018066
185,-0.9043064117431641
186,-0.9065924882888794
187,-0.9089034199714661
188,-0.9112394452095032
189,-0.9136002063751221
190,-0.9159844517707825
191,-0.9183909296989441
192,-0.9208176136016846
193,-0.9232622981071472
194,-0.925723135471344
195,-0.9281982183456421
196,-0.9306864738464355
197,-0.9331874847412109
198,-0.9357012510299683
199,-0.9382291436195374
200,-0.940772533416748
201,-0.9433342218399048
202,-0.9459169507026672
203,-0.9485235810279846
204,-0.9511569738388062
205,-0.9538192749023438
206,-0.9565110206604004
207,-0.9592304229736328
208,-0.9619641304016113
209,-0.9646775126457214
210,-0.9672784209251404
211,-0.9697097539901733
212,-0.9722234010696411
213,-0.9755131006240845
214,-0.9789928197860718
215,-0.981669545173645
216,-0.9841973185539246
217,-0.987447202205658
218,-0.9906872510910034
219,-0.9933353662490845
220,-0.9962493181228638
221,-0.9995831251144409
222,-1.0025306940078735
223,-1.005342721939087
224,-1.0085680484771729
225,-1.0117299556732178
226,-1.0146069526672363
227,-1.0176827907562256
228,-1.020911455154419
229,-1.0239237546920776
230,-1.0268959999084473
231,-1.030048131942749
232,-1.0331616401672363
233,-1.0361167192459106
234,-1.0391182899475098
235,-1.0422046184539795
236,-1.045188546180725
237,-1.0480740070343018
238,-1.0510025024414062
239,-1.0539404153823853
240,-1.0567809343338013
241,-1.0595453977584839
242,-1.0623114109039307
243,-1.0650659799575806
244,-1.0677363872528076
245,-1.0703269243240356
246,-1.0728940963745117
247,-1.0754345655441284
248,-1.0779093503952026
249,-1.0803048610687256
250,-1.0826492309570312
251,-1.084960699081421
252,-1.087215781211853
253,-1.0893957614898682
254,-1.0915113687515259
255,-1.0935792922973633
256,-1.0955971479415894
257,-1.0975483655929565
258,-1.0994322299957275
259,-1.1012630462646484
260,-1.1030464172363281
261,-1.10477614402771
262,-1.1064475774765015
263,-1.1080690622329712
264,-1.1096506118774414
265,-1.1111905574798584
266,-1.112686038017273
267,-1.1141412258148193
268,-1.1155633926391602
269,-1.1169557571411133
270,-1.1183160543441772
271,-1.1196458339691162
272,-1.1209512948989868
273,-1.12223482131958
274,-1.123496413230896
275,-1.124737024307251
276,-1.1259599924087524
277,-1.1271686553955078
278,-1.128362774848938
279,-1.1295430660247803
280,-1.1307119131088257
281,-1.1318718194961548
282,-1.1330232620239258
283,-1.1341657638549805
284,-1.1353018283843994
285,-1.136432409286499
286,-1.1375577449798584
287,-1.1386780738830566
288,-1.1397943496704102
289,-1.1409070491790771
290,-1.1420162916183472
