epoch,original_scale_mse
1,73.11332702636719
2,69.54353332519531
3,66.14358520507812
4,62.91218948364258
5,59.847434997558594
6,56.946876525878906
7,54.207496643066406
8,51.625858306884766
9,49.19805145263672
10,46.91974639892578
11,44.78630065917969
12,42.79270935058594
13,40.933719635009766
14,39.20389175415039
15,37.59758758544922
16,36.1090202331543
17,34.73233413696289
18,33.46162414550781
19,32.29093551635742
20,31.214366912841797
21,30.226036071777344
22,29.32015609741211
23,28.491029739379883
24,27.733064651489258
25,27.04085922241211
26,26.409130096435547
27,25.832815170288086
28,25.307052612304688
29,24.82717514038086
30,24.388755798339844
31,23.987619400024414
32,23.61983299255371
33,23.281721115112305
34,22.96988868713379
35,22.681161880493164
36,22.412683486938477
37,22.161823272705078
38,21.926191329956055
39,21.703678131103516
40,21.49234962463379
41,21.29054832458496
42,21.096773147583008
43,20.90974998474121
44,20.728347778320312
45,20.551603317260742
46,20.37870979309082
47,20.20894432067871
48,20.041746139526367
49,19.876632690429688
50,19.713207244873047
51,19.551137924194336
52,19.390180587768555
53,19.230117797851562
54,19.0707950592041
55,18.9121036529541
56,18.753950119018555
57,18.59627342224121
58,18.439041137695312
59,18.282211303710938
60,18.12580108642578
61,17.969804763793945
62,17.8142147064209
63,17.659069061279297
64,17.50437355041504
65,17.35016632080078
66,17.19643783569336
67,17.043243408203125
68,16.89059066772461
69,16.738508224487305
70,16.58701515197754
71,16.436128616333008
72,16.28588104248047
73,16.13627052307129
74,15.987320899963379
75,15.839051246643066
76,15.691461563110352
77,15.544585227966309
78,15.398415565490723
79,15.252978324890137
80,15.10826587677002
81,14.964298248291016
82,14.821066856384277
83,14.678605079650879
84,14.536897659301758
85,14.395956993103027
86,14.25579833984375
87,14.116419792175293
88,13.977822303771973
89,13.84001636505127
90,13.703011512756348
91,13.566810607910156
92,13.431426048278809
93,13.296854972839355
94,13.163110733032227
95,13.030193328857422
96,12.898112297058105
97,12.766877174377441
98,12.63648509979248
99,12.506958961486816
100,12.378299713134766
101,12.250503540039062
102,12.12358570098877
103,11.99755573272705
104,11.872411727905273
105,11.748172760009766
106,11.62484359741211
107,11.50241470336914
108,11.380914688110352
109,11.26034164428711
110,11.14069938659668
111,11.021997451782227
112,10.904239654541016
113,10.787431716918945
114,10.671584129333496
115,10.556697845458984
116,10.44278621673584
117,10.329855918884277
118,10.217888832092285
119,10.106915473937988
120,9.99692440032959
121,9.887930870056152
122,9.77993392944336
123,9.672934532165527
124,9.566941261291504
125,9.46195125579834
126,9.357975006103516
127,9.2550048828125
128,9.153054237365723
129,9.052115440368652
130,8.95219898223877
131,8.853303909301758
132,8.755425453186035
133,8.658563613891602
134,8.562724113464355
135,8.467915534973145
136,8.374115943908691
137,8.28134536743164
138,8.189592361450195
139,8.098854064941406
140,8.009138107299805
141,7.920438766479492
142,7.8327507972717285
143,7.7460761070251465
144,7.660408973693848
145,7.575741291046143
146,7.492083549499512
147,7.409422397613525
148,7.327756881713867
149,7.2470879554748535
150,7.1674065589904785
151,7.088710308074951
152,7.010989189147949
153,6.9342474937438965
154,6.8584771156311035
155,6.783669471740723
156,6.709827423095703
157,6.636934280395508
158,6.564992427825928
159,6.493989944458008
160,6.423924922943115
161,6.354796886444092
162,6.286586284637451
163,6.219295024871826
164,6.152913570404053
165,6.087440490722656
166,6.022862911224365
167,5.959174156188965
168,5.896370887756348
169,5.83443546295166
170,5.773379802703857
171,5.7131781578063965
172,5.653831481933594
173,5.595332622528076
174,5.537665843963623
175,5.480832576751709
176,5.424819469451904
177,5.369624614715576
178,5.315228462219238
179,5.261632442474365
180,5.208827495574951
181,5.156796455383301
182,5.10554313659668
183,5.055052280426025
184,5.005320072174072
185,4.956334590911865
186,4.908084392547607
187,4.860568046569824
188,4.813771724700928
189,4.767690181732178
190,4.722315311431885
191,4.677635192871094
192,4.633640766143799
193,4.590330123901367
194,4.547688961029053
195,4.505709648132324
196,4.464391708374023
197,4.423712730407715
198,4.383673667907715
199,4.34426212310791
200,4.305476665496826
201,4.267302513122559
202,4.22973108291626
203,4.19276237487793
204,4.156377792358398
205,4.120576858520508
206,4.085348606109619
207,4.050685405731201
