epoch,normalized_mse
1,6.133191108703613
2,4.580077648162842
3,3.4207234382629395
4,2.551222085952759
5,1.8964991569519043
6,1.4042161703109741
7,1.0365561246871948
8,0.7644314169883728
9,0.564934492111206
10,0.4201357066631317
11,0.3162246346473694
12,0.24270184338092804
13,0.19161218404769897
14,0.15688490867614746
15,0.1338167041540146
16,0.11872196197509766
17,0.1087222620844841
18,0.10163319855928421
19,0.09588983654975891
20,0.09046704322099686
21,0.0847853571176529
22,0.07860764116048813
23,0.0719379261136055
24,0.06493175774812698
25,0.05782206356525421
26,0.05086332932114601
27,0.04429194703698158
28,0.038301918655633926
29,0.0330328531563282
30,0.02856675535440445
31,0.02493136189877987
32,0.02210758812725544
33,0.020038900896906853
34,0.01864149235188961
35,0.0178141500800848
36,0.01744713820517063
37,0.01742992177605629
38,0.01765722781419754
39,0.01803373545408249
40,0.018477266654372215
41,0.018920617178082466
42,0.019312314689159393
43,0.019616248086094856
44,0.019810743629932404
45,0.019886823371052742
46,0.01984633505344391
47,0.019699640572071075
48,0.01946338452398777
49,0.019158249720931053
50,0.018806910142302513
51,0.018432127311825752
52,0.018055234104394913
53,0.017694856971502304
54,0.01736604981124401
55,0.017079712823033333
56,0.016842445358633995
57,0.016656599938869476
58,0.016520695760846138
59,0.01643003709614277
60,0.016377484425902367
61,0.0163542740046978
62,0.01635090820491314
63,0.016358012333512306
64,0.016366980969905853
65,0.016370562836527824
66,0.016363220289349556
67,0.01634133979678154
68,0.016303176060318947
69,0.016248751431703568
70,0.01617954485118389
71,0.016098100692033768
72,0.01600768230855465
73,0.01591186597943306
74,0.015814118087291718
75,0.015717588365077972
76,0.01562485471367836
77,0.015537789091467857
78,0.015457536093890667
79,0.015384495258331299
80,0.015318453311920166
81,0.015258707106113434
82,0.015204171650111675
83,0.015153585933148861
84,0.015105624683201313
85,0.015059047378599644
86,0.015012769959867
87,0.014965968206524849
88,0.014918075874447823
89,0.01486880611628294
90,0.014818132854998112
91,0.014766225591301918
92,0.014713418669998646
93,0.014660144224762917
94,0.014606873504817486
95,0.014554052613675594
96,0.014502079226076603
97,0.014451250433921814
98,0.014401765540242195
99,0.014353717677295208
100,0.014307080768048763
101,0.014261756092309952
102,0.014217584393918514
103,0.01417434774339199
104,0.014131838455796242
105,0.014089841395616531
106,0.014048172160983086
107,0.014006691053509712
108,0.013965300284326077
109,0.01392394956201315
110,0.013882624916732311
111,0.013841349631547928
112,0.013800187967717648
113,0.013759186491370201
114,0.013718416914343834
115,0.013677937909960747
116,0.01363779790699482
117,0.013598037883639336
118,0.013558655045926571
